Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M,Age_pred,Error
0.425,0.3,0.15,0.680388,0.2551455,0.1417475,0.2551455,5,0,1,0,4.0,1.0
0.4125,0.2875,0.0625,0.510291,0.18427175,0.1417475,0.1417475,4,0,1,0,4.0,0.0
0.4,0.1375,0.1125,0.5953395,0.21262125,0.12757275,0.12757275,3,0,1,0,4.0,-1.0
0.4125,0.3,0.1125,0.5953395,0.21262125,0.12757275,0.21262125,4,0,1,0,4.0,0.0
0.4,0.275,0.075,0.66621325,0.21262125,0.226796,0.1417475,4,0,1,0,4.0,0.0
0.5,0.2375,0.1375,0.510291,0.04252425,0.04252425,0.15592225,3,0,1,0,4.0,-1.0
0.4,0.3,0.0625,0.5953395,0.21262125,0.15592225,0.1417475,4,0,1,0,4.0,0.0
0.4125,0.275,0.0875,0.41106775,0.18427175,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.4,0.3,0.0875,0.41106775,0.15592225,0.1417475,0.1417475,3,0,1,0,4.0,-1.0
0.45,0.2625,0.1,0.56699,0.21262125,0.0850485,0.1417475,5,0,1,0,4.0,1.0
0.4,0.3,0.0875,0.92135875,0.12757275,0.12757275,0.1417475,4,0,1,0,5.0,-1.0
0.4875,0.3,0.1125,0.5953395,0.18427175,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.1875,0.1375,0.0625,0.056699,0.0283495,0.0750485,0.04252425,4,0,1,0,4.0,0.0
0.325,0.2375,0.0875,0.29766975,0.1417475,0.09922325,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.3,0.0625,0.5953395,0.21262125,0.15592225,0.21262125,4,0,1,0,4.0,0.0
0.4,0.25,0.1125,0.510291,0.35436875,0.15592225,0.283495,4,0,1,0,4.0,0.0
0.4875,0.3,0.1125,0.8221355,0.4252425,0.21262125,0.283495,3,0,1,0,4.0,-1.0
0.475,0.275,0.1875,0.963883,0.21262125,0.12757275,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.3,0.1,0.5953395,0.21262125,0.1984465,0.18427175,4,0,1,0,4.0,0.0
0.275,0.2375,0.0375,0.35436875,0.1417475,0.0850485,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.275,0.075,0.510291,0.18427175,0.0850485,0.1417475,6,0,1,0,4.0,2.0
0.4125,0.2,0.1,0.963883,0.2551455,0.1417475,0.1417475,3,0,1,0,5.0,-2.0
0.3,0.275,0.1,0.43941725,0.18427175,0.0850485,0.1417475,3,0,0,1,4.0,-1.0
0.5,0.3,0.0875,0.9922325,0.41106775,0.1417475,0.283495,5,0,1,0,5.0,0.0
0.3875,0.2875,0.125,0.29766975,0.1417475,0.09922325,0.1417475,4,0,1,0,4.0,0.0
0.525,0.3,0.0875,1.190679,0.4252425,0.35436875,0.4252425,5,0,1,0,5.0,0.0
0.325,0.2375,0.0875,0.29766975,0.1417475,0.1417475,0.09922325,3,0,1,0,4.0,-1.0
0.4,0.2625,0.1,0.5953395,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.3625,0.3,0.125,0.5953395,0.21262125,0.12757275,0.1417475,4,0,1,0,4.0,0.0
0.3875,0.2625,0.0625,0.680388,0.2551455,0.1417475,0.21262125,4,0,0,1,4.0,0.0
0.4375,0.3,0.15,0.963883,0.26932025,0.09922325,0.226796,4,0,1,0,4.0,0.0
0.325,0.2375,0.0875,0.226796,0.18427175,0.0850485,0.09922325,3,0,1,0,4.0,-1.0
0.4875,0.2625,0.1,0.510291,0.3118445,0.226796,0.1417475,3,0,1,0,4.0,-1.0
0.4,0.25,0.1875,0.5953395,0.18427175,0.1417475,0.1417475,4,0,1,0,4.0,0.0
