id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,M,1.8,1.375,0.5,51.80871125,23.31746375,10.375917,14.8834875,11.0
1,M,0.725,0.5375,0.175,3.89805625,1.70097,0.56699,0.9922325,5.0
2,M,1.4625,1.1375,0.3875,30.107169,10.546014,6.917278,9.63883,14.0
3,F,1.6125,1.225,0.4,34.23202125,16.782904,6.8889285,9.4970825,9.0
4,M,1.625,1.2625,0.4,34.23202125,15.43630275,7.7394135,9.7805775,10.0
5,I,1.0375,0.7875,0.2625,10.716111,5.6982495,2.4664065,2.8632995,7.0
6,I,1.25,0.95,0.3,18.6256215,9.45455825,4.40834725,4.819415,7.0
7,I,0.9125,0.675,0.2,6.25106475,2.7499015,1.17650425,1.984465,7.0
8,I,0.6875,0.5,0.2,2.8066005,1.0489315,0.680388,0.850485,5.0
9,I,0.725,0.525,0.175,3.16096925,1.51669825,0.80796075,0.850485,6.0
10,M,1.55,1.2,0.4375,36.78347625,16.68368075,7.55514175,10.0640725,13.0
11,F,1.6375,1.325,0.4375,40.86580425,18.32795175,10.70193625,10.3475675,10.0
12,M,1.2375,0.9875,0.3375,15.365429,6.98815175,3.07592075,4.7343665,10.0
13,F,1.4375,1.175,0.45,31.19862475,14.95436125,7.314171,7.5126175,10.0
14,M,1.75,1.375,0.5125,67.5001595,32.1199835,14.84096325,14.458245,12.0
15,F,1.55,1.1875,0.4125,29.07241225,12.68640125,7.200773,8.788345,10.0
16,F,1.4125,1.0625,0.3625,26.7902775,11.793392,5.54232725,7.01650125,11.0
17,M,1.5625,1.2125,0.4375,35.550273,16.48523425,7.3425205,9.4970825,10.0
18,I,1.2375,0.9625,0.3,16.51358375,7.257472,3.47281375,4.6776675,8.0
19,I,1.45,1.075,0.4,25.41532675,10.9145575,7.41339425,7.711064,10.0
20,F,1.5,1.1875,0.4,30.94347925,13.79203175,6.917278,10.0640725,11.0
21,M,1.5375,1.1875,0.4625,31.99241075,13.05494475,8.88756825,8.50485,10.0
22,I,1.3125,0.95,0.3375,20.96445525,12.00601325,4.025629,5.2446575,8.0
23,F,1.65,1.3125,0.45,39.179009,19.391058,6.5487345,9.4970825,11.0
24,F,1.475,1.1625,0.3875,30.4190135,13.99047825,7.27164675,7.7961125,11.0
25,F,1.5,1.1875,0.425,32.6869735,12.26115875,8.051258,8.9867915,14.0
26,F,1.3375,1.075,0.4,24.73493875,10.61688775,5.8116475,6.520385,12.0
27,M,1.5,1.1875,0.3875,27.25804425,11.479221,4.86193925,10.20582,16.0
28,I,1.3,0.9875,0.4,18.75319425,7.41339425,3.742134,5.386405,8.0
29,M,1.4875,1.1625,0.4,31.19862475,13.8062065,6.3786375,9.63883,10.0
